ID;Kitab;Sanad;Matan
1;Musnad Syafi'i 1;"Imam Abu Abdullah Muhammad bin Idris Asy-Syafi'i radliyallahu 'anhu mengabarkan kepada kami, Malik bin Anas mengabarkan kepada kami dari Shafwan bin Sulaim, dari Sald bin Salamah, seseorang dari kalangan keluarga Ibnu Azraq: ia mengatakan bahwa Al Mughirah bin Abu Burdah, ia dari' kalangan Bani Abdud-Dar, ia mengabarkan bahwa ia pernah mendengar Abu Hurairah mengatakan:

Seorang lelaki pernah bertanya kepada Rasulullah shallallahu 'alaihi wa sallam, untuk itu ia berkata:";"Sesungguhnya kami akan menaiki perahu di laut, sedangkan kami hanya membawa sedikit persediaan air tawar. Jika kami memakainya untuk berwudhu, niscaya kami akan kehausan. Bolehkah kami berwudhu dengan air laut?"" Rasulullah shallallahu 'alaihi wa sallam menjawab: ""Airnya menyucikan dan Halal bangkainya.”"
2;Musnad Syafi'i 2;Orang yang terpercaya memberitahukan kepada kami dari Al WaJid bin Katsir dari Muhamad bin Abbad bin Ja'far dari Abdullah bin Abdullah bin 'Umar, dari ayahnya bahwa Rasulullah shallallahu 'alaihi wa sallam pernah bersabda:;"Apabila air mencapai dua qullah, maka ia tidak mengandung najis atau kotoran."""
3;Musnad Syafi'i 3;Malik mengabarkan kepada kami dari Abu Az-Zinad dari Al-A'raj, dari Abu Hurairah bahwa Rasulullah shallallahu 'alaihi wa sallam pernah bersabda:;"Apabila anjing minum dari wadah seseorang di antara kalian hendaklah ia mencucinya sebanyak tujuh kali."""
4;Musnad Syafi'i 4;Sufyan bin Uyainah mengabarkan kepada kami dari Abu Az-Zinad dari Al A'raj, dari Abu Hurairah bahwa Rasulullah shallallahu 'alaihi wa sallam pernah bersabda:;"Apabila seekor anjing menjilat wadah seseorang di antara kalian, hendaklah ia mencucinya sebanyak tujuh kali cucian."" 11"
5;Musnad Syafi'i 5;Ibnu Uyainah memberitahukan kepada kami dari Ayyub bin Abu Tamimah dari Ibnu Sirin dari Abu Hurairah radliyallahu 'anhu bahwa Rasulullah shallallahu 'alaihi wa sallam pernah bersabda:;"Apabila anjing menjilat dalam wadah seseorang di antara kalian, hendaklah ia mencucinya sebanyak tujuh kali: cucian yang pertama atau yang terakhir dicampur dengan tanah."" 12"
6;Musnad Syafi'i 6;"Sufyan bin Uyainah mengabarkan kepada kami dari Hisyam, dari Fathimah, dari Asma, ia berkata:

Aku pernah bertanya kepada Nabi shallallahu 'alaihi wa sallam tentang darah haid yang mengenai kain, lalu beliau bersabda:";"Keriklah terlebih dahulu, lalu kucek dengan air. Kemudian cipratilah dengan air, lalu kamu boleh shalat dengan memakai kain itu.""13

Ar-Rabi' mengabarkan kepada kami, dari Syafi'i di awal kitab"
7;Musnad Syafi'i 7;"Sufyan bin Uyainah menceritakan kepada kami. Hisyam bin Urwah mengabarkan kepada kami bahwa ia pernah mendengar istrinya -Fatimah binti Al Mundzir- mengatakan: Aku pernah mendengar nenekku -Asma binti Abu Bakar- berkata:

Aku pernah menanyakan kepada Nabi shallallahu 'alaihi wa sallam tentang darah haid, maka beliau menyebutkan hal yang semisal dengan hadis di atas. 14";
8;Musnad Syafi'i 8;"Malik mengabarkan kepada kami dari Hisyam bin Urwah, dari Fatimah binti Al Mundzir, dari Asma binti Abu Bakar, ia mengatakan:

Seorang wanita pernah bertanya kepada Rasulullah shallallahu 'alaihi wa sallam:";"Wahai Rasulullah! Bagaimanakah menurutmu bila kain salah seorang dari kami terkena darah haid, apakah yang harus ia perbuat?"" Maka Nabi shallallahu 'alaihi wa sallam bersabda kepadanya: “Apabila kain salah seorang di antara kalian terkena darah haid, hendaklah ia menguceknya dengan air, kemudian mencipratinya dengan air, lalu ia boleh memakainya untuk shalat.""15"
9;Musnad Syafi'i 9;"Sa'id bin Salim mengabarkan kepada kami dari Ibnu Abu Habibah atau Ibnu Habibah, dari Daud bin Al Hushain. dari Jabir bin Abdullah, dari Nabi shallallahu 'alaihi wa sallam, Bahwa

Beliau  pernah ditanya:";"Apakah kami boleh berwudhu dengan air bekas keledai?"" Nabi shallallahu 'alaihi wa sallam menjawab: ""Ya boleh, dan juga dengan bekas air minum semua binatang buas."" 16"
10;Musnad Syafi'i 10;"Malik mengabarkan kepada kami dari Ishaq bin Abdullah, dari Hamidah binti Ubaid bin Rifa'ah, dari Kabsyah binti Ka'ab bin MaJik yang menjadi istri Ibnu Abu Qatadah. atau Abu Qatadah sendiri -keraguan ini dari Ar-Rabi'- Bahwa

Abu Qatadah masuk, lalu aku menuangkan air (menyiapkan) wudhu untuknya, tetapi tiba-tiba datang seekor kucing dan langsung meminum airnya. Lalu ia melanjutkan kisahnya: Maka Abu Qatadah melihat ke arahku yang sedang memandangnya, dan ia berkata:";"Apakah engkau heran, hai anak perempuan saudaraku? Sesungguhnya Rasulullah shallallahu 'alaihi wa sallam pernah bersabda: 'Sesungguhnya kucing ini tidak najis, ia termasuk hewan jantan dan hewan betina yang jinak yang berada disekeliling kalian'."" 17"
11;Musnad Syafi'i 11;Orang yang dapat dipercaya memberitahukan kepada kami, dari Yahya bin Abu Katsir dari Abdullah bin Abu Qatadah dari bapaknya dari Nabi shallallahu 'alaihi wa sallam, dengan redaksi semisalnya atau dengan makna semisalnya. 18;
12;Musnad Syafi'i 12;"Sufyan mengabarkan kepada kami dari Az Zuhri dari Urwah dari Aisyah radliyallahu 'anha, bahwa

Rasulullah shallallahu 'alaihi wa sallam pernah mandi dari satu bejana dan aku juga pernah mandi bersama beliau dari satu wadah. 19";
13;Musnad Syafi'i 13;Malik mengabarkan kepada kami dari Nafi, dari Ibnu Umar radliyallahu 'anhuma bahwa ia pernah berkata:;"Sesungguhnya para lelaki dan perempuan dahulu di zaman Nabi shallallahu 'alaihi wa sallam pernah berwdhu bersama-sama."" 20"
14;Musnad Syafi'i 14;Malik mengabarkan kepada kami dari Hisyam bin Urwah. dari ayahnya, dari Aisyah radliyallahu 'anha, ia berkata:;"Aku pernah mandi bersama Nabi shallallahu 'alaihi wa sallam dari satu wadah."" 21"
15;Musnad Syafi'i 15;"Ibnu Uyainah mengabarkan kepada kami dari Amr bin Dinar, dari Abu Asy Sya'tsa, dari Ibnu Abbas, dari Maimunah radliyallahu 'anha bahwa

Dia dan Nabi shallallahu 'alaihi wa sallam pernah mandi dari satu wadah. 22";
16;Musnad Syafi'i 16;"Sufyan mengabarkan kepada kami, dari Asyim, dari Mu'adzah Al Adawiyah, dari Aisyah radliyallahu 'anha.

Ia berkata:";"Aku sering mandi bersama Nabi shallallahu 'alaihi wa sallam dari satu wadah. dan ada kalanya aku berkata kepada beliau: 'Sisakanlah untukku, sisakanlah untukku'."" 23"
17;Musnad Syafi'i 17;"Malik mengabarkan kepada kami dari Ibnu Syihab, dari Ubaidullah, dari Ibnu Abbas radliyallahu 'anhuma, ia mengatakan:

Nabi shallallahu 'alaihi wa sallam pernah menjumpai bangkai seekor kambing yang diberikan oleh pelayan perempuan Maimunah, isteri Nabi shallallahu 'alaihi wa sallam. Lalu beliau bersabda (kepada para sahabat):";"Mengapa kalian tidak memanfaatkan kulitnya?"" Mereka menjawab: ""Wahai Rasulullah! Sesungguhnya kambing itu telah menjadi bangkai."" Nabi bersabda: ""Sesungguhnya yang diharamkan adalah memakannya."" 24"
18;Musnad Syafi'i 18;Ibnu Uyainah memberitahukan kepada kami dari Az-Zuhri, dari Ubaidullah bin Abdullah, dari Ibnu Abbas radliyallahu 'anhuma, dari Nabi shallallahu 'alaihi wa sallam:;"Apakah yang dilakukan oleh pemilik bangkai kambing ini, seandainya mereka menyamak dan memanfaatkannya?” Mereka menjawab: ""Wahai Rasulullah! Sesungguhnya kambing ini telah menjadi bangkai."" Beliau bersabda: ""Sesungguhnya yang diharamkan hanyalah memakannya."" 25"
19;Musnad Syafi'i 19;Sufyan bin Uyainah mengabarkan kepada kami dari Zaid bin Aslam: ia pernah mendengar Ibnu Wa'lah, ia pernah mendengar dari Ibnu Abbas radliyallahu 'anhuma bahwa ia pernah mendengar Nabi shallallahu 'alaihi wa sallam bersabda:;"Kulit apapun apabila disamak, maka ia menjadi suci."" 26"
20;Musnad Syafi'i 20;Malik mengabarkan kepada kami dari Zaid bin Aslam, dari Ibnu Wa'lah, dari Ibnu Abbas radliyallahu 'anhuma bahwa Nabi shallallahu 'alaihi wa sallam pernah bersabda:;"Apabila kulit disamak, maka ia menjadi suci."" 27"
21;Musnad Syafi'i 21;"Malik mengabarkan kepada kami dari Ibnu Qusaith, dari Muhammad bin Abdurrahman bin Tsauban, dari ibunya, dari Aisyah radliyallahu 'anha: Bahwa

Nabi shallallahu 'alaihi wa sallam telah memerintahkan agar kulit bangkai dimanfaatkan apabila telah disamak. 28";
22;Musnad Syafi'i 22;Malik mengabarkan kepada kami dari Nafi, dari Zaid bin Abdullah bin Umar, dari Abdullah bin Abdurrahman bin Abu Bakar Ash-Shiddiq, dari Ummu Salamah radliyallahu 'anha bahwa Nabi shallallahu 'alaihi wa sallam pernah bersabda:;"Orang yang minum dari perak tiada lain hanyalah menegukkan api neraka Jahanam ke dalam perutnya."" 29"
23;Musnad Syafi'i 23;Ibnu Uyainah mengabarkan kepada kami dari Az-Zuhri, dari Abu Salamah, dari Abu Hurairah radliyallahu 'anhu bahwa Rasulullah shallallahu 'alaihi wa sallam pernah bersabda:;"Apabila seseorang di antara kalian bangun dari tidurnya. Janganlah ia langsung memasukkan tangannya ke dalam wadah sebelum mencucinya sebanyak tiga kali, karena sesungguhnya ia tidak mengetahui di manakah tangannya semalam berada."" 30"
24;Musnad Syafi'i 24;Malik dan Ibnu Uyainah mengabarkan kepada kami dari Abu Az-Zinad, dari Al A'raj, dari Abu Hurairah radliyallahu 'anhu, dari Nabi shallallahu 'alaihi wa sallam yang telah bersabda:;"Apabila seseorang di antara kalian bangun dari tidurnya, hendaklah mencuci tangannya sebelum memasukkannya ke dalam air untuk wudhunya, karena sesungguhnya seseorang di antara kalian tidak mengetahui di mana semalam tangannya berada."" 31"
25;Musnad Syafi'i 25;Orang yang terpercaya mengabarkan kepada kami dari maid, dari Anas bin Malik radliyallahu 'anhu, ia berkata:;"Dahulu para sahabat Rasulullah shallallahu 'alaihi wa sallam menunggu shalat Isya, lalu mereka tertidur -aku menduganya mengatakan-, dalam keadaan duduk hingga kepala mereka terantuk-antuk, kemudian mereka shalat tanpa berwudhu lagi."" 32"
26;Musnad Syafi'i 26;Malik mengabarkan kepada kami dari Nafi', dari Ibnu Umar: Bahwa ia pemah tidur sambil duduk, kemudian shalat tanpa berwudhu lagi. 33;
27;Musnad Syafi'i 27;Malik mengabarkan kepada kami dari Ibnu Syihab, dari Salim, dari ayahnya, ia berkata,;"Ciuman seorang laki-laki kepada istrinya atau rabaan dengan tangannya termasuk dalam pengertian mulaamah (saling bersentuhan), maka barangsiapa yang mencium istrinya atau merabanya dengan tangan, wajib melakukan wudhu."" 34"
28;Musnad Syafi'i 28;"Sufyan menceritakan kepada kami, Az-Zuhri menceritakan kepada kami, Abbad bin Tamim mengabarkan kepadaku dari pamannya -yaitu Abdullah bin Zaid- ia berkata,

Seorang lelaki mengadu kepada Rasulullah shallallahu 'alaihi wa sallam bahwa seakan-akan ia merasakan sesuatu dalam shalatnya, maka beliau menjawab:";"Janganlah ia keluar (dari shalatnya) sebelum mendengar suara (kentut) atau mencium baunya."" 35"
29;Musnad Syafi'i 29;"Ibrahim bin Muhammad mengabarkan kepada kami, Abu Bakar bin Umar bin Abdurrahman bin Abdullah bin Umar bin Al Khaththab mengabarkan kepadaku dari Nafi', dari Ibnu 'Umar: Bahwa

Ada seorang lelaki berjumpa dengan Nabi shallallahu 'alaihi wa sallam ketika beliau sedang buang air kecil. Lelaki itu memberi salam kepada beliau, lalu beliau menjawab salam(nya). Ketika lelaki itu berlalu, Nabi shallallahu 'alaihi wa sallam memanggilnya lalu bersabda:";"Sesungguhnya hal yang mendorongku untuk menjawab salammu hanyalah karena khawatir bila engkau pergi, lalu engkau mengatakan, 'Aku telah mengucapkan salam kepada Rasulullah, tetapi beliau tidak mau menjawab salamku'. Untuk itu, apabila engkau melihatku dalam keadaan seperti ini, janganlah engkau mengucapkan salam kepadaku. Sesungguhnya jika engkau melakukan hal itu, niscaya aku tidak akan menjawab salammu."" 36"
30;Musnad Syafi'i 30;"Ibrahim bin Muhammad mengabarkan kepada kami dari Abu Al Huwairits, dari Al A'raj dari Ibnu Ash-Shammah, ia berkata

Aku pernah berjumpa dengan Nabi shallallahu 'alaihi wa sallam yang pada saat itu sedang buang air kecil. Maka aku memberi salam kepadanya, tetapi beliau tidak menjawab salamku. Lalu beliau berdiri di dekat tembok, maka tembok itu dikeriknya dengan tongkat yang ada padanya, kemudian meletakkan tangannya pada tembok dan mengusap wajah serta kedua hastanya, Nabi kemudian menjawab salamku. 37

Abu Al Abbas Al Asham  berkata,";"Dua hadis ini tidak dalam pembahasan tentang wudhu, adapun aku memaparkan dalam pembahasan tersebut karena disitulah mestinya keduanya ada."" Asy-Syafi'i  berkata, ""Dan telah diriwayatkan oleh Abu Al Huwairits dari Al A'raj dari Ibnu Ash Shummah: Bahwa Rasulullah shallallahu 'alaihi wa sallam pernah buang air kecil lalu tayammum, lalu aku memaparkan hadis dengan lengkap karena sebab ini."
31;Musnad Syafi'i 31;"Malik mengabarkan kepada kami dari Abu An-Nadhr -pelayan Umar bin Ubaidillah- dari Sulaiman bin Yasar, dari Al Miqdad bin Aswad: Bahwa

Ali bin Abi Thalib  pernah menyuruhnya untuk menanyakan kepada Rasulullah  tentang seorang lelaki yang ketika mendekati (mencumbu) isterinya, ia mengeluarkan madzi, apakah yang harus dilakukannya? Ali berkata:";"Karena sesungguhnya aku beristerikan putri Rasulullah shallallahu 'alaihi wa sallam, dan aku merasa malu bila bertanya langsung kepadanya.” Al Miqdad mengatakan: Lalu aku menanyakan hal tersebut kepada Nabi shallallahu 'alaihi wa sallam, beliau menjawab: ""Apabila seseorang dari kalian mengalami hal tersebut, hendaklah ia menciprati kemaluannya (dengan air) dan melakukan wudhu seperti wudhu untuk shalat."" 38"
32;Musnad Syafi'i 32;"Malik mengabarkan kepada kami dari Abdullah bin Abu Bakar bin Muhammad bin Amr bin Hazm bahwa ia pernah mendengar Urwah bin Zubair bercerita:

Aku pernah masuk menemui Marwan bin Hakam, lalu kami saling mengingatkan tentang hal-hal yang membatalkan wudhu. Marwan berkata,";"Karena memegang dzakar wajib berwudhu."" Urwah menjawab, ""Aku tidak mengetahui hadis itu."" Marwan berkata, Busrah binti Shafwan menceritakan kepadaku bahwa ia mendengar Rasulullah shallallahu 'alaihi wa sallam bersabda: ""Apabila seseorang di antara kalian memegang kemaluannya, hendaklah ia berwudhu."" 39"
33;Musnad Syafi'i 33;Sulaiman bin Amr dan Muhammad bin Abdullah mengabarkan kepada kami dari Yazid bin Abdul Malik Al Hasyimi, dari Sa'id bin Abu Sa'id, dari Abu Hurairah radliyallahu 'anhu dari Rasulullah shallallahu 'alaihi wa sallam, bahwa beliau pernah bersabda:;"Apabila seseorang di antara kalian memegang kemaluannya dengan tangannya, sedangkan antara tangan dan kemaluannya tidak ada suatu penghalang pun, maka hendaklah ia berwudhu."" 40"
34;Musnad Syafi'i 34;Abdullah bin Nafi' dan Ibnu Abu Fudaik mengabarkan kepada kami dari Ibnu Abu Dzi'b, dari Uqbah bin Abdurrahman, dari Muhammad bin Abdurrahman bin Tsauban, ia mengatakan bahwa Rasulullah  pernah bersabda. “Apabila seseorang di antara kalian memegangkan tangannya ke kemaluannya, hendaklah ia berwudhu” 41 Ibnu Nafi' menambahkan. lalu ia berkata “dari Abdurrahman bin Tsauban dari Jabir dari Nabi dengan redaksi semisalnya. Asy-Syafi'i  berkata, “Aku mendengar tidak hanya dari satu hafizh yang meriwayatkannya, dan tidak menyebutkan Jabir di dalamnya.;
35;Musnad Syafi'i 35;Al Qasim bin Abdullah mengabarkan kepada kami -aku menduganya- dari Ubaidillah bin Umar, dari Al Qasim bin Muhammad, dari Aisyah , ia berkata,;Apabila wanita memegang kemaluannya, maka ia harus berwudhu.” 42
36;Musnad Syafi'i 36;Sufyan mengabarkan kepada kami dari Az-Zuhri, dari dua orang lelaki —salah seorangnya adaJah Ja'far bin Amr bin Umayah Adh-Dhamiri— dari ayahnya: Bahwa Rasulullah  pernah memakan paha kambing, kemudian shalat tanpa berwudhu lagi. 43;
37;Musnad Syafi'i 37;Ibnu Uyainah mengabarkan kepada kami dari Ibnu Ajlan, dari Al Qa'qa bin Hakim, dari Abu Shalih, dari Abu Hurairah  bahwa Rasulullah  pernah bersabda, “Sesungguhnya kedudukanku bagi kalian adalah seperti orang tua terhadap anaknya. Maka apabila seseorang di antara kalian melakukan buang air, janganlah ia menghadap ke arah tabiat dan jangan pula membelakanginya, baik ketika buang air besar ataupun buang air kecil, dan hendaklah ia beristinja (bersuci) dengan memakai tiga buah batu.” Beliau melarang melakukan istinja memakai kotoran hewan dan tulang. Dan melarang seorang lelaki beristinja menggunakan tangan kanannya. 44;
38;Musnad Syafi'i 38;Sufyan mengabarkan kepada kami, Hisyam bin Urwah mengabarkan kepadaku, ia mengatakan: Bahwa Abu Wajzah mengabarkan kepadaku dari Umran bin Hudair dari Imarah bin Khuzaimah bin Tsabit, dari ayahnya  bahwa Nabi  pernah bersabda, ”Istinja dilakukan dengan memakai tiga buah tanpa ada raji' (kotoran hewan yang telah kering) di antaranya.” 45;
39;Musnad Syafi'i 39;Sufyan mengabarkan kepada kami, dari Abu Az-Zinad, dari Al A'raj, dari Abu Hurairah  bahwa Nabi  pernah bersabda,;Seandainya aku tidak khawatir akan memberatkan umatku, niscaya aku perintahkan mereka mengakhirkan shalat Isya dan bersiwak pada tiap kali hendak melaksanakan shalat.” 46
40;Musnad Syafi'i 40;Ibnu Uyainah mengabarkan kepada kami dari Muhammad bin Ishaq, dari Ibnu Abu Atiq, dari Aisyah RA  bahwa Nabi SAW pernah bersabda,;"Sesungguhnya siwak itu menyucikan mulut dan lagi mendatangkan keridlaan Rabb."" 47"
41;Musnad Syafi'i 41;Malik mengabarkan kepala kami dari Abu Az.Zinad. dari Al A'raj. dari Abu Hurairah bahwa Rasulullah  pemah bersabda, “Apabila seseorang dl antara kailan bangun dari tidurnya, hendaklah ia mencuci tangannya sebelum dimasukkan ke dalam air wudhunya, karena sesungguhnya seseorang dl antara kalian tidak tahu di mana tangannya semalam berada.” 48;
42;Musnad Syafi'i 42;Sufyan bin Uyainah mengabarkan kepada kami dari Abu Az-Zinad, dari Al A'raj, dari Abu Hurairah, ia menyatakan: Rasulullah  pernah bersabda “Apabila seseorang dari kalian bangun dari tidurnya, hendaklah ia mencuci tangannya sebelum memasukkannya ke dalam air wudhunya, karena sesungguhnya ia tidak tahu di mana tangannya semalam berada” 49 Abu Al Abbas Al Asham berkata “Dan aku telah mentakrij hadis Malik dan juga hadis Sufyan, karena Asy-Syafi'i  sebelum itu menyebutkan keduanya pada redaksi hadis Malik.;
43;Musnad Syafi'i 43;Yahya bin Hissan mengabarkan kepada kami dari Hammad bin Zaid dan Ibnu Ulayah, dari Ayub, dari Ibnu Sirin, dari Amr bin Wahb Ats-Tsaqafi, dari Al Mughirah bin Syu'bah RA. Bahwa Nabi SAW berwudhu lalu mengusap ubun-ubun beliau dan juga kain serbannya, serta sepasang khuf beliau.50;
44;Musnad Syafi'i 44;Muslim mengabarkan kepada kami dari Ibnu Juraij, dari Atha: Bahwa Rasulullah SAW berwudhu lalu, membuka sorban beliau dan mengusap bagian depan kepala beliau, -atau ia berkata- Ubun-ubun beliau dengan air. 51;
45;Musnad Syafi'i 45;Ibrahim bin Muhammad mengabarkan kepada kami dari Ali bin Yahya, dari Ibnu Sirin, dari Al Mughirah bin Syu'bah.RA: Bahwa Rasulullah SAW mengusap ubun-ubun beliau, -atau ia mengatakan-bagian depan kepala beliau dengan air.52;
46;Musnad Syafi'i 46;Malik mengabarkan kepada kami dari Amr bin Yahya Al Mazini, dari ayahnya sesungguhnya, ia pernah berkata kepada Abdullah bin Zaid Al Anshari,;"Dapatkah engkau memperagakan kepadaku cara berwudhu yang pernah dilakukan oleh Rasulullah?"" Abdullah bin Zaid menjawab, “Ya.” Maka ia meminta air wudhu, lalu menuangkannya pada kedua tangannya dan membasuhnya sebanyak 2 kali, kemudian berkumur dan ber-istinsyaq sebanyak 3 kali. Kemudian ia membasuh muka sebanyak 3 kali, lalu membasuh kedua lengan tangannya hingga kedua siku 2 kali. Kemudian ia mengusap kepala dengan tangannya sebanyak 3 kali, untuk itu ia mengusapkan kedua tangannya ke arah depan dan ke arah belakang (secara bolak-balik); dimulai dari bagian depan kepala, kemudian mengusapkan keduanya sampai ke tengkuknya dan mengembalikan keduanya ke tempat semula. Setelah itu, ia mencuci kedua kakinya.53"
