ID;Kitab;Matan
17;Musnad Syafi'i 17;"Mengapa kalian tidak memanfaatkan kulitnya?"" Mereka menjawab: ""Wahai Rasulullah! Sesungguhnya kambing itu telah menjadi bangkai."" Nabi bersabda: ""Sesungguhnya yang diharamkan adalah memakannya."" 24"
18;Musnad Syafi'i 18;"Apakah yang dilakukan oleh pemilik bangkai kambing ini, seandainya mereka menyamak dan memanfaatkannya?” Mereka menjawab: ""Wahai Rasulullah! Sesungguhnya kambing ini telah menjadi bangkai."" Beliau bersabda: ""Sesungguhnya yang diharamkan hanyalah memakannya."" 25"
19;Musnad Syafi'i 19;"Kulit apapun apabila disamak, maka ia menjadi suci."" 26"
20;Musnad Syafi'i 20;"Apabila kulit disamak, maka ia menjadi suci."" 27"
94;Musnad Syafi'i 94;"Apakah shalat boleh diqashar sampai di Arafah?"" Ibnu Abbas menjawab: ""Tidak boleh, tetapi sampai di 'Usfan, Jeddah dan Thaif."" 101"
195;Musnad Syafi'i 195;"Namun —kamu boleh mengqashar jika pergi- ke Jeddah Ashfan atau Tha'if, jika kamu telah tiba di suatu keluarga ataii diperbendaharaan, maka sempurnakanlah —shalat— dan ia berkata, ""Dan ini adalah perkataan Ibnu Umar dan inilah yang kami ambil.""201"
249;Musnad Syafi'i 249;"""Maka aku berdiri pula dan melakukan hal yang sama seperti apa yang dilakukan beliau, lalu aku berdiri di samping beliau. Maka Rasulullah  meletakkan tangan kanannya di kepalaku dan menjewer telinga kananku. Kemudian beliau shalat 2 rakaat, lalu 2 rakaat lagi, lalu 2 rakaat lagi, lalu 2 rakaat lagi, lalu 2 rakaat lagi, kemudian shalat Witir. Sesudah itu beliau berbaring hingga muadzin datang, lalu shalat 2 rakaat yang ringan, kemudian keluar dan shalat Subuh.” 255"
499;Musnad Syafi'i 499;"Syubrumah”, maka Ibnu Abbas menjawab. ""Celakalah kamu, siapakah Syubrumah?” Abu Qilabah melanjutkan kisahnya bahwa dia adalah salah seorang kerabatnya, maka Ibnu Abbas bertanya. ""Apakah engkau telah berhaji untuk dirimu sendiri?” Lelaki itu menjawab. ""Belum."" Ibnu Abbas berkata. ""Berhajilah untuk dirimu sendiri, kemudian baru kamu boleh berhaji atas nama Syubrumah.” 503"
537;Musnad Syafi'i 537;"Lalu aku mengucapkan salam"" kemudian ia berkata, ""Siapa ini?"" Kemudian aku mengatakan bahwa aku adalah Abdullah, aku ditus oleh Ibnu Abbas untuk datang kepadamu menanyakan bagaimana Rasulullah  menyiram kepalanya pada saat ihram, ia berkata, ""Kemudian Abu Ayub meletakkan kedua tangannya di atas kainnya, ia memangguk-manggukkan kepalanya hingga terlihat oleh kami, kemudian ia mengatakan kepada orang yang menyiraminya; Siramlah, lalu ia pun menyiram kepalanya, kemudian menggerak-gerakkan kepalanya dengan kedua tangannya ke depan dan kebelakangnya, kemudian ia bekata, ""Demikian yang aku lihat dari beliau .""539"
600;Musnad Syafi'i 600;(Qs. Al Ahzaab [33]: 21) 601
663;Musnad Syafi'i 662;"Aku bersaksi bahwa transaki salaf yang terjamin hingga waktu yang ditentukan telah dihalalkan oleh Allah Ta ala dalam kitab-Nya dan diizinkan di dalamnya, kemudian ia membaca, ""Hai orang-orang yang beriman, jika kalian berutang dengan suatu utang hingga waktu yang ditentukan."" (Qs. Al Baqarah [2]: 282)"
666;Musnad Syafi'i 665;Kami tidak berpendapat bahwa salaf adalah sesuatu yang tidak dilarang, uang logam adalah dengan uang logam sebagai kontan.'666
674;Musnad Syafi'i 673;Jika di dalamnya ada sesuatu, maka zakatnya adalah seperlima.” 674
675;Musnad Syafi'i 674;"Pada udang tidak ada zakat, sesungguhnya ia adalah sesuatu yang dihempaskan oleh laut."" 675"
736;Musnad Syafi'i 736;"Al Muli adalah orang yang berjanji tidak akan mendekati istrinya selamanya."" 735"
788;Musnad Syafi'i 788;"Aku belum pernah melihat Rasulullah melakukan puasa yang lebih diperhatikannya dari hari-hari yang lain kecuali hanya hari ini."" Yakni hari Asyura. 36"
789;Musnad Syafi'i 789;"Sesungguhnya Rasulullah  melarang nikah mut'ah dan dari daging keledai kampung."" 37"
817;Musnad Syafi'i 817;"Aku ragu, apakah yang demikian dikatakan dari Ibnu Abbas, dari Khalid bin Walid, atau dari Ibnu Abbas dan Khalid bin Al Walid: Keduanya masuk ke dalam rumah Maimunah bersama Nabi , kemudian dihidangkan seekor biawak panggang, lalu Rasulullah mengulurkan tangannya, tetapi salah seorang dari kaum wanita yang ada di rumah Maimunah berkata kepadanya, ""Sebaiknya kita beritahukan kepada Rasulullah  daging apa yang akan dimakannya itu."" Mereka berkata, ""Wahai Rasulullah! Makanan itu adalah daging biawak."" Maka Rasulullah  menarik kembali tangannya, dan aku bertanya, ""Apakah biawak haram?"" Rasulullah  menjawab, ""Tidak, tetapi ia tidak ada di tanah kaumku. Karena itu, aku enggan memakannya."" Khalid berkata, ""Lalu aku menarik hidangan itu dan memakannya, sedangkan Rasulullah  melihat saja."" 65"
827;Musnad Syafi'i 827;"Jangan sekali-kali seorang lelaki khalwat (berduaan) dengan seorang wanita, dan tidak halal bagi seorang wanita mengadakan perjalanan melainkan ditemani oleh mahramnya."" Lalu ada seorang lelaki berdiri dan bertanya, ""Wahai Rasulullah! Sesungguhnya aku telah mendaftarkan diriku dalam perang anu dan perang anu, sedangkan istriku hendak berangkat haji."" Maka Nabi  menjawab, ""Berangkatlah dan berhajilah bersama istrimu."" 75"
864;Musnad Syafi'i 864;"Sesungguhnya matahari dan bulan merupakan 2 tanda di antara tanda-tanda kekuasaan Allah , keduanya tidak mengalami gerhana karena matinya seseorang dan tidak pula karena hidupnya. Karena itu, apabila kalian melihat hal tersebut, bersegeralah kalian berdzikir kepada Allah . ""112"
879;Musnad Syafi'i 879;"Usamah bin Zaid menceritakan kepadaku bahwa Nabi  pernah bersabda, “Sesungguhnya riba itu berada pada riba nasiah'.""127"
889;Musnad Syafi'i 889;"Tidakkah engkau berhenti dari tangismu, karena Rasulullah  pernah bersabda, “Sesungguhnya mayit itu benar-benar disiksa sebab tangisan keluarganya yang ditujukan kepadanya' "" Maka Ibnu Abbas berkata, ""Umar pun pernah mengatakan sebagian dari itu."" Kemudian Ibnu Abbas melanjutkan kisahnya: Aku berangkat bersama Umar bin Khaththab menuju Makkah. Ketika kami sampai di Al Baida, tiba-tiba kami berjumpa dengan suatu kafilah yang sedang istirahat di bawah naungan sebuah pohon. Lalu Umar berkata, ""Pergilah, coba lihat siapakah rombongan kafilah itu!"" Maka aku berangkat, dan ternyata aku bertemu dengan Shuhaib. Umar berkata, ""Panggillah dia!"" Aku kembali ke Shuhaib dan kukatakan kepadanya, ""Berangkatlah dan bergabunglah dengan Amirul Mukminin!"" Ketika Umar tertimpa malapetaka —yang mengantarkan kepada wafatnya—, aku mendengar Shuhaib menangis seraya berkata, ""Aduhai saudaraku, aduhai temanku."" Maka Umar berkata, ""Hai Shuhaib, apakah engkau menangisi diriku, padahal Rasulullah  telah bersabda, “Sesungguhnya mayit itu benar-benar disiksa karena tangisan keluarganya yang ditujukan kepadanya'."" Ibnu Abbas melanjutkan kisahnya: Ketika Umar wafat, aku ceritakan hadis tersebut kepada Aisyah . Maka ia berkata, ""Semoga Allah merahmati Umar. Tidak, demi Allah, Rasulullah  tidak pernah mengatakan bahwa mayit benar-benar disiksa karena tangisan keluarganya yang ditujukan kepadanya, melainkan Rasulullah  telah bersabda, 'Sesungguhnya Allah menambah siksa terhadap orang kafir karena tangisan keluarganya yang ditujukan kepadanya'."" Aisyah berkata, ""Cukuplah bagi kalian ayat Al Qur'an yang menyatakan, 'Seorang yang berdosa tidak akan memikul dosa orang lain'."" (Qs. Al An'aam [6]: 164) Ketika itu Ibnu Abbas berkata, ""Allah-lah yang membuat (seseorang) tertawa dan menangis."" Ibnu Abu Mulaikah berkata, ""Demi Allah, Ibnu Umar tidak mengatakan apapu."" 137"
901;Musnad Syafi'i 901;"Sesungguhnya kami tidak sekali-kali mengembalikannya kepadamu} melainkan karena kami sedang ihram.""149"
911;Musnad Syafi'i 911;"Janganlah kalian berpuasa sebelum melihat hilal, jangan pula kalian berbuka (berhenti puasa) sebelum melihat hilal. ""159"
926;Musnad Syafi'i 926;"Aku memandang segala sesuatu tidak lain kecuali seperti itu."""
937;Musnad Syafi'i 937;"Bukti dibebankan atas si penuduh."" Aku menduganya mengatakan; Tetapi aku tidak yakin bahwa beliau  bersabda, ""Dan sumpah dibebankan atas orang yang tertuduh.""185"
939;Musnad Syafi'i 939;"Sesungguhnya thalak tiga di masa Rasulullah  dianggap sebagai sekali thalak, begitu pula pada masa Abu Bakar; dan dianggap sebagai tiga kali thalak pada sebagian masa Umar."" Ibnu Abbas menjawab, ""Ya."" 187"
940;Musnad Syafi'i 940;"Ibnu Abbas menjawab, ""Ambillah olehmu tiga, dan tinggalkanlah yang sembilan puluh tujuhnya."" 188"
969;Musnad Syafi'i 969;"Dahulu di kalangan Bani Israil terdapat hukum qishash, tetapi di kalangan mereka tidak ada diyat, maka Allah  berfirman kepada umat ini, 'Diwajibkan atas kalian qishash berkenaan dengan orang-orang yang dibunuh, orang merdeka dengan orang merdeka, hamba dengan hamba, dan wanita dengan wanita. Maka barangsiapa yang mendapat suatu pemaafan dari saudaranya, hendaklah (yang memaafkan) mengikuti dengan cara yang baik, dan hendaklah (yang diberi maaj) membayar (diyat) kepada yang memberi maaf dengan cara yang baik (pula). Yang demikian itu adalah suatu keringanan dari Rabb kalian dan suatu rahmat'. Dibandingkan dengan apa yang telah diwajibkan atas orang-orang sebelum kalian, 'Barangsiapa yang melampaui batas sesudah itu, maka baginya siksa yang sangat pedih'."" (Qs. Al Baqarah [2]: 178)"
1003;Musnad Syafi'i 1003;"Apakah Rasulullah  pernah berperang dengan melibatkan kaum wanita, dan apakah beliau mengkhususkan suatu bagian (dari ghanimah) buat mereka?"" Ibnu Abbas menjawab, ""Sesungguhnya Rasulullah berperang dengan melibatkan kaum wanita. Mereka ditugaskan mengobati orang-orang yang terluka, tetapi beliau tidak menentukan bagian buat mereka dari ghanimah, melainkan hanya diberi imbalan."" 251"
