ID;Kitab;Matan
88;Musnad Syafi'i 88;"Sesungguhnya Allah hanya berfirman, 'Kalian boleh melakukan shalat qashar jika kalian merasa takut diserang orang-orang kafir'. Dan sekarang orang- orang hidup dalam keadaan aman."" Maka Umar menjawab, ""Aku pun pernah merasa heran seperti apa yang kamu alami, lalu aku bertanya kepada Rasulullah , maka beliau menjawab, 'Hal itu merupakan sedekah yang diberikan Allah SWT untuk kalian, terimalah sedekah-Nya'.""95"
121;Musnad Syafi'i 121;"Hai paman! Sesungguhnya sekarang aku akan berangkat ke Syam, dan sesungguhnya aku merasa takut bila ditanya mengenai pengangkatanmu sebagai muadzin. Ceritakanlah kepadaku, hai Abu Mahdzurah!"" la menjawab, “Ya. Aku berangkat bersama suatu rombongan. Ketika kami terada di tengah jalan Hunain, Rasulullah SAW kembali dari Hunain, maka kami berpapasan dengan beliau di tengah jalan. Saat itu muadzin Rasulullah SAW sedang mengumandangkan adzan di hadapannya dan kami mendengar suara muadzin itu. Kami dalam keadaan menyandang busur-busur kami di pundak, lalu kami mengeraskan suara menirukan suara muadzin seraya mengolok-oloknya dan Nabi SAW mendengarnya, maka beliau mengirim utusan kepada kami. Akhirnya kami dibawa ke hadapan beliau, maka beliau bersabda, 'Siapakah di antara kalian yang aku dengar suaranya sangat keras?' Maka semua kaum (yang ada bersamaku) menunjuk ke arahku dengan sejujurnya. Akhirnya beliau melepaskan mereka dan menahanku, lalu beliau bersabda 'Berdirilah dan beradzanlah untuk shalat!' Maka aku berdiri, saat itu tidak ada yang lebih kubenci selain Nabi SAW, dan tidak ada pula yang paling kubenci selain apa yang diperintahkannya kepadaku. Aku berdiri di hadapan Rasulullah SAW, dan beliau sendiri secara langsung mengajarkan adzan kepadaku. Untuk itu beliau bersabda 'Katakanlah: Allaahu akbar, Allaahu akbar, Allaahu akbar, Allaahu akbar, Asyhadu anlaa ilaaha illallaah, asyhadu anlaa ilaaha illallaah. Asyhadu anna Muhammadar-rasuulullaah, asyhadu anna Muhammadar-rasuulullaah'. Kemudian beliau bersabda pula kepadaku, 'Ulangilah dan panjangkanlah suaramu!' Kemudian beliau bersabda, 'Katakanlah: Asyhadu anlaa ilaaha illallaah, asyhadu anlaa ilaaha illallaah, Asyhadu anna Muhammadar-rasuulullaah, asyhadu anna Muhammadar-rasuulullaah. Hayya 'alash-shalaah, hayya 'alash-shalaah. Hayya 'alal falaah, hayya 'alal falaah. Allaahu akbar, Allaahu akbar. Laa ilaaha illallaah' Ketika aku selesai beradzan, beliau memanggilku dan memberiku sebuah kantong yang di dalamnya terdapat sedikit uang perak.” Kemudian beliau meletakkan tangannya pada ubun-ubun Abu Mahdzurah, lalu meletakkannya pada wajahnya, di tengah-tengah dadanya, ulu hatinya, kemudian sampai pada pusar Abu Mahdzurah. Setelah itu Rasulullah SAW bersabda, “Semoga Allah memberkatimu, semoga Allah memberkatimu."" Maka aku berkata, '.Wahai Rasulullah, perintahkanlah aku untuk menyerukan adzan di Makkah.” Nabi SAW menjawab, “Telah kuperintahkan kepadamu untuk melakukannya."" Lenyaplah segala sesuatu yang mengganjal hatiku terhadap diri Rasulullah SAW, yakni perasaan tidak suka, dan hal itu berbalik menjadi rasa cinta kepada beliau. Lalu aku datang kepada Attab bin Usaid -amil Rasulullah- dan aku menyerukan adzan sesuai dengan perintah Rasulullah.

Ibnu Juraij berkata, ""Hal tersebut telah diceritakan kepadaku oleh orang yang aku jumpai dari keluarga Abu Mahdzurah, seperti juga apa yang telah diceritakan kepadaku oleh Ibnu Muhairiz."" 128

Asy-Syafi'i berkata, “Aku melihat Ibrahim bin Abdullah bin Abdul Malik bin Abu Mahdzurah mengumandangkan adzan sebagaimana diceritakan oleh Ibnu Muhairiz, dan aku mendengarnya menceritakan hadis dari bapaknya, dari Ibnu Muhairiz dari Abu Mahdzurah dari Nabi SAW makna apa yang telah diceritakan oleh Ibnu Juraij.”"
133;Musnad Syafi'i 133;"Hayya 'alash-shalaah"", maka Muawiyah mengucapkan “Laa haula walaa quwwata illa billaah”. Ketika muadzin mengucapkan ""Hayya 'alal falaah"" maka ia mengucapkan ""Laa haula walaa quwwata illa billaah"". Setelah itu Muawiyah kembali mengucapkan searti apa yang diucapkan oleh muadzinnya, lalu berkata, “Aku pernah mendengar Rasulullah  mengucapkan hal itu.”140"
138;Musnad Syafi'i 138;"Kebanyakan ulama berkata, “Dan aku adalah orang yang mula-mula berserah diri."" Aku merasa ragu untuk mengatakan bahwa seseorang dari mereka berkata, ""Dan aku termasuk orang-orang yang berserah diri."" (Selanjutnya beliau mengucapkan), “Ya Allah, Engkau adalah Raja, tiada Tuhan selain Engkau. Maha Suci Engkau dengan segala pujian-Mu. Engkau adalah Rabbku dan aku adalah hamba-Mu, aku telah berbuat aniaya terhadap diriku dan aku mengakui dosaku, maka ampunilah daku atas semua dosaku. Tidak ada yang dapat mengampuni dosa-dosa selain Engkau. Dan tunjukilah aku kepada akhlak yang terbaik, tidak ada yang dapat menunjuki kepada akhlak yang terbaik selain Engkau. Dan palingkanlah dariku akhlak yang buruk, tidak ada yang dapat memalingkan diriku dari akhlak yang buruk selain Engkau. Kupenuhi seruan-Mu dengan ketaatan, semua kebaikan berada di genggaman kekuasaan-Mu, dan semua keburukan tidak dinisbatkan kepada-Mu. Orang yang mendapat petunjuk ialah orang-orang yang Engkau beri petunjuk, aku adalah kemurahan dari- Mu dan akan kembali kepada-Mu. Tiada jalan selamat dari-Mu kecuali berkat pertolongan-Mu. Maha Suci Engkau lagi Maha Tinggi aku memohon ampun dan bertobat kepada-Mu.""145"
143;Musnad Syafi'i 143;Aku telah membacakannya kepada Ibnu Abbas sebagaimana aku membacakannya kepadamu, lalu ia membacakan, 'Bismillahir rahmaanir rahiim' hingga tujuh ayat.” Ibnu Abbas  berkata, “Maka Allah menyimpannya (surah Al Fatihah) untuk kalian. Dia tidak mengeluarkannya kepada seorang pun sebelum kalian.”150
299;Musnad Syafi'i 299;"Janganlah salah seorang kalian menyuruh orang lain berdiri saat jum'atan, tapi katakanlah, 'Perluaskan'."" 305"
501;Musnad Syafi'i 501;Ia menjawab, “Seperti ihram yang dilakukan oleh Rasulullah ” Nabi  bersabda, “Maka berkurbanlah kamu dan tetaplah dalam keadaan ihram seperti sekarang ini.” Abdullah bin Jabir melanjutkan kisahnya: Maka Ali menyerahkan seekor hewan kurban untuknya. 505
514;Musnad Syafi'i 514;Asy-Syafi'i berkata, “Yang dimaksud memang Ibnu Juraij, karena kelahirannya menurut kami berasal dari Bani Muhairisy.” 518
525;Musnad Syafi'i 525;Penduduk Madinah berihram dari Dzul Hulaifah dan jalan yang lain —yaitu dari Juhfah— adalah untuk Penduduk Maghrib. Penduduk Irak berihram dari Dzatu 'Irq, penduduk Najd berihram dari Qarn, dan penduduk Yaman berihram dari Yalamlam.” 527
551;Musnad Syafi'i 551;Lepaskanlah ikat pinggang tambangmu.” (Ini) diucapkannya sebanyak dua kali. 553
