ID;Kitab;Matan
13;Musnad Syafi'i 13;"Sesungguhnya para lelaki dan perempuan dahulu di zaman Nabi shallallahu 'alaihi wa sallam pernah berwdhu bersama-sama."" 20"
129;Musnad Syafi'i 129;Ingatlah, shalatlah kalian di dalam rumah-rumah kalian!”136
168;Musnad Syafi'i 168;"""Lakukanlah seperti apa yang telah dilakukan oleh Rasulullah .” Aku bertanya,. “Bagaimanakah cara yang pernah dilakukan oleh Rasulullah SAW?” Ibnu Umar menjawab, “Nabi  apabila duduk dalam shalat, beliau meletakkan telapak tangan kanan di atas paha kanannya dan menggenggam semua jarinya serta mengisyaratkan dengan jari telunjuk yang bersebelahan dengan jari jempol, dan meletakkan telapak tangan kiri di atas paha kirinya.”174"
213;Musnad Syafi'i 213;"la mengatakan: Maka aku katakan, Idzaa zulzilatil ardhu Ia pun membaca Idzaa zulzilatil ardhu Pada awalnya ia membaca Ummul Qur'an; dan ketika bacaannya selesai, ia mengucapkan, “Bismillahirrahmaanirrahiim, Bismillahirrahmaanirrahiim, Bismillahirrahmaanirrahiim.. Ia mengatakan: Maka aku katakan, “Idzaa zulzilatil ardhu!” Ia pun membaca, “Idzaa zulzilatil ardhu” Lalu ia berkata, “Idzaa zulzilatil ardhu. ”219"
298;Musnad Syafi'i 298;Tidak boleh seseorang menyengaja datang kepada seseorang kemudian menyuruhnya berdiri dari tempat duduknya kemudian ia duduk di tempat tersebut. 304
524;Musnad Syafi'i 524;"Penduduk Madinah berihram dari Dzul Hulaifah, penduduk negeri Syam berihram dari Juhfah, dan penduduk Najd berihram dari Qarn."" Nafi mengatakan kepadaku bahwa mereka merasa yakin Rasulullah  juga bersabda, ""Penduduk Yaman berihram dari Yalamlam.”526"
542;Musnad Syafi'i 542;"Orang yang berihram tidak boleh memakai baju gamis. tidak boleh memakai celana tidak boleh memakai serban tidak boleh memakai penutup kepala dan tidak boleh memakai khuf; kecuali bagi seseorang yang tidak menemukan sepasang sandal maka ia boleh memakai khuf tetapi hendaknya ia memotong keduanya hingga lebih rendah dari kedua mata kakinya”544"
787;Musnad Syafi'i 787;"Dahulu merupakan suatu hari yang orang-orang Jahiliyah melakukan puasa padanya. Barangsiapa di antara kalian suka melakukan puasa padanya, hendaklah ia berpuasa; dan barangsiapa yang tidak suka, hendaklah ia meninggalkannya.""35"
806;Musnad Syafi'i 806;"Janganlah seseorang di antara kalian bersikeras untuk melakukan shalat di saat matahari terbit dan di kala tenggelam""54"
815;Musnad Syafi'i 815;"Aku tidak memakannya dan tidak pula mengharamkannya. "" 63"
839;Musnad Syafi'i 839;"Janganlah sebagian dari kalian melakukan transaksi jual-beli di atas transaksi sebagian yang lainnya ""87"
843;Musnad Syafi'i 843;"Janganlah orang kota menjual kepada orang kampung (pedalaman).""91"
907;Musnad Syafi'i 907;"Janganlah seseorang di antara kalian melamar wanita yang telah dilamar oleh saudaranya.""155"
924;Musnad Syafi'i 924;"Barangsiapa yang menjual makanan, janganlah ia menjualnya hingga sesuai dengan timbangan dan takaran.""172"
957;Musnad Syafi'i 957;"Wahai Rasulullah! Apakah yang dilakukan oleh orang-orang itu, mereka bertahallul setelah umrah, sedangkan engkau sendiri tidak bertahallul dari umrahmu?"" Nabi  menjawab, ""Sesungguhnya aku telah meminyaki rambutku dan menandai hadyu-ku, maka aku tidak akan bertahallul sebelum menyembelihnya.""205"
