ID;Kitab;Matan
16;Musnad Syafi'i 16;"Aku sering mandi bersama Nabi shallallahu 'alaihi wa sallam dari satu wadah. dan ada kalanya aku berkata kepada beliau: 'Sisakanlah untukku, sisakanlah untukku'."" 23"
28;Musnad Syafi'i 28;"Janganlah ia keluar (dari shalatnya) sebelum mendengar suara (kentut) atau mencium baunya."" 35"
39;Musnad Syafi'i 39;Seandainya aku tidak khawatir akan memberatkan umatku, niscaya aku perintahkan mereka mengakhirkan shalat Isya dan bersiwak pada tiap kali hendak melaksanakan shalat.” 46
57;Musnad Syafi'i 57;"Apakah gerangan yang menyebabkan kamu datang?"" Aku menjawab, ""Menuntut ilmu."" Shafwan berkata, ""Sesungguhnya para malaikat benar-benar menaungkan sayap-sayapnya bagi orang yang menuntut ilmu karena ridha dengan apa yang dituntutnya."" Aku berkata, ""Sesungguhnya telah terbetik di dalam diriku masalah mengusap sepasang khuf sesudah buang air besar dan buang air kecil, sedangkan engkau adalah salah seorang sahabat Nabi SAW. Aku datang untuk menanyakan apakah engkau pernah mendengar sesuatu dari beliau mengenai masalah tersebut?"" Ia menjawab, ""Ya, dahulu Rasulullah SAW memerintahkan kami bila berada dalam penjalanan atau sedang melakukan perjalanan, hendaknya kami jangan mencabut khuf-khuf kami selama 3 hari 3 malam kecuali karena jinabat, tetapi tidak karena buang air besar, air kecil dan tidur."" 67"
65;Musnad Syafi'i 65;"Wanita itu bertanya, ""Bagaimanakah, caranya aku bersuci dengannya?"". Nabi . menjawab, memakainya. 'Bersucilah dengan memakainya”. Wanita itu (masih kurang jelas dan) bertanya lagi, ""Bagaimanakah caranya aku tereuci dengan memakainya?"" Nabi bersabda, ""Subhanallah, Subhanallah!” Lalu beliau menutupi wajahnya dengan kain (dan bersabda), ""Ya, bersucilah dengan memakainya."" Kemudian aku menarik wanita itu dan mengetahui apa yang dimaksudnya, lalu aku katakan kepadanya, ""Maksudnya, telusurilah dengannya bekas darahmu, yakni kemaluanmu.""72"
94;Musnad Syafi'i 94;"Apakah shalat boleh diqashar sampai di Arafah?"" Ibnu Abbas menjawab: ""Tidak boleh, tetapi sampai di 'Usfan, Jeddah dan Thaif."" 101"
100;Musnad Syafi'i 100;"Sesungguhnya Rasulullah SAW pernah bersabda: 'Jibril pernah turun, lalu ia mengimamiku shalat, kemudian aku melaksanakan shalat dengannya, lalu ia turun lagi, kemudian mengimamiku, lalu aku shalat, kemudian ia pernah turun lagi, lalu mengimamiku dan aku shalat dengannya lalu ia juga pernah turun lagi kemudian mengimamiku, lalu aku shalat dengannya hingga lima waktu shalat'."" kemudian 'Umar bin Abdul Aziz berkata: ""Bertaqwalah kepada Allah wahai 'Urwah, lihat kepada apa yang kamu katakan!"" Lalu 'Urwah berkata kepadanya: ""Bishr bin Abu Mas'ud yang telah mengabarkan kepadaku dari bapaknya dari Nabi SAW."" 107"
102;Musnad Syafi'i 102;"Nabi  bersabda pula, ""Neraka mengadu kepada Rabbnya, maka ia berkata, 'Wahai Rabbku! Sebagian dariku memakan sebagian yang lain'. Maka diizinkan baginya mengeluarkan dua helaan nafas, satu helaan nafas di musim dingin, dan yang lainnya di musim panas. Maka panas yang amat terik yang kalian jumpai bersumber dari panasnya, dan dingin yang amat menggigil yang kalian jumpai berasal dari Zamharir (dingin) nya."" 109"
137;Musnad Syafi'i 137;Aku sering melihat Rasulullah SAW: bila memulai shalatnya, beliau mengangkat kedua tangannya hingga sejajar dengan kedua pundaknya dan begitu pula bila hendak ruku dan sesudah bangkit (dari ruku), tetapi beliau tidak mengangkat (kedua tangannya) di antara dua sujud.”144
140;Musnad Syafi'i 140;Tidak sah —shalat— seseorang yang tidak membaca Al Fatiha dalam shalat.” 147
141;Musnad Syafi'i 141;Setiap shalat yang tidak dibaca Ummul Kitab di dalamnya, maka shalat itu kurang, maka shalat itu kurang.148
142;Musnad Syafi'i 142;"Nabi SAW, Abu Bakar, 'Umar dan 'Utsman membuka bacaan shalat dengan: {Alhamdulillahi rabbil aalamin}"" (QS. Al Fatihah: 2)*"
163;Musnad Syafi'i 163;Aku melihat Rasulullah  di Qa' -bagian dari daerah Namirah atau An-Namirah (Ar-Rabi' ragu)- sedang sujud, maka aku dapat melihat (kulit) kedua ketiak beliau yang putih.”169
237;Musnad Syafi'i 237;"Sufyan mengatakan: Maka aku berkata kepada Amr bahwa Abu Zubair pernah mengatakan bahwa Nabi  bersabda kepada Mu’adz, “Bacalah: Sabbihisma rabbikal a’laa, Wal-laili idzaa yaghsyaa, dan Was-samaa’i wath-thaariq.” Amr menjawab, ""Hadis itu sama dengan hadis ini atau ia adalah serupa dengannya.” 243"
257;Musnad Syafi'i 257;Baaida annahum“ 263
265;Musnad Syafi'i 265;Hingga beliau menuturkan seekor ayam dan sebutir telur. 271
273;Musnad Syafi'i 273;Apakah engkau telah shalat?” Lelaki itu menjawab, “Belum.” Nabi  bersabda, “Shalatlah dua rakaat!” 279
303;Musnad Syafi'i 303;Siapa yang mendapatkan satu rakaat shalat maka ia telah mendapatkan shalat —jamaah—”309
442;Musnad Syafi'i 442;"Zakat harta rikaz adalah seperlimanya."" 446"
456;Musnad Syafi'i 456;"Apakah gerangan yang dialami oleh amil, kita mengutusnya untuk menyelesaikan sebagian pekerjaan kita, lalu ia mengatakan, 'Ini bagian kalian dan ini bagianku '. Mengapa ia tidak tinggal saja di rumah ayah dan ibunya, lalu menunggu apakah ada yang memberi hadiah kepadanya atau tidak? Demi Tuhan yang jiwaku berada dalam genggaman kekuasaan-Nya, tidak sekali-kali seseorang mengambil sesuatu dari harta zakat kecuali kelak di hari Kiamat ia datang membawanya dengan memikulnya di atas pundaknya. Jika yang diambilnya itu berupa unta, maka unta itu akan mengeluarkan suara rugha-nya; atau sapi, maka sapi itu akan mengeluarkan suara lenguhannya; atau kambing, maka kambing itu akan mengeluarkan suara embikannya.” Kemudian beliau  mengangkat kedua tangannya hingga kami dapat melihat kulit kedua ketiaknya yang putih, lalu beliau bersabda, ""Ya Allah, bukankah aku telah menyampaikan. Ya Allah, bukankah aku telah menyampaikan.”460"
462;Musnad Syafi'i 462;"Perumpamaan orang yang menafkahkan hartanya dan orang yang kikir sama dengan dua orang lelaki yang memakai jubah atau memakai baju besi dari kedua telapak kaki hingga ke lehernya Apabila orang yang berinfak hendak menginfakkan hartanya, maka bajunya itu terasa melebar atau longgar, hingga jari-jemarinya tertutupi dan jejak-jejaknya terhapus olehnya. Tetapi apabila orang yang kikir hendak menginfakkan hartanya, bajunya itu menyempit dan setiap belahannya menempel ketat pada tempatnya masing-masing, hingga mencekik leher atau tenggorokkannya; dia berupaya untuk melonggarkannya, tetapi bajunya itu tidak mau longgar.”466"
464;Musnad Syafi'i 464;"Ibuku pernah mendatangiku, dan ia adalah wanita yang menyukai masa kejahiliyahan, lalu aku bertanya kepada Rasulullah SAW, ""Apakah aku boleh menyambung silaturrahmi?"" beliau menjawab, ""Ya.""468"
499;Musnad Syafi'i 499;"Syubrumah”, maka Ibnu Abbas menjawab. ""Celakalah kamu, siapakah Syubrumah?” Abu Qilabah melanjutkan kisahnya bahwa dia adalah salah seorang kerabatnya, maka Ibnu Abbas bertanya. ""Apakah engkau telah berhaji untuk dirimu sendiri?” Lelaki itu menjawab. ""Belum."" Ibnu Abbas berkata. ""Berhajilah untuk dirimu sendiri, kemudian baru kamu boleh berhaji atas nama Syubrumah.” 503"
507;Musnad Syafi'i 507;"Tidak, bahkan untuk selama-lamanya. Ibadah umrah masuk ke dalam ibadah haji sampai hari Kiamat. "" Thawus melanjutkan kisahnya lagi: (Sesudah itu) datanglah Ali bin Abu Thalib dari negeri Yaman, maka Nabi  bertanya kepadanya yang maksudnya, ""Ihram apakah yang kamu lakukan?"" Salah satu dari keduanya (Ibnu Thawus dan Ibrahim bin Maisarah) mengatakan dari Thawus, “Aku katakan, 'Labbaika dengan ihlal seperti ihlal yang dilakukan oleh Nabi '. Sedangkan yang lainnya mengatakan, 'Labbaika dengan ibadah haji seperti yang dilakukan oleh Nabi '.” 511"
663;Musnad Syafi'i 662;"Aku bersaksi bahwa transaki salaf yang terjamin hingga waktu yang ditentukan telah dihalalkan oleh Allah Ta ala dalam kitab-Nya dan diizinkan di dalamnya, kemudian ia membaca, ""Hai orang-orang yang beriman, jika kalian berutang dengan suatu utang hingga waktu yang ditentukan."" (Qs. Al Baqarah [2]: 282)"
665;Musnad Syafi'i 664;Sampai batas waktu yang ditentukan. 665
674;Musnad Syafi'i 673;Jika di dalamnya ada sesuatu, maka zakatnya adalah seperlima.” 674
708;Musnad Syafi'i 708;"Aku mendengar Sufyan menceritakan hadis ini banyak sekali selama aku belajar darinya, tetapi selama itu ia belum pernah mengatakan, 'Amara biwadh'il jawaa'ih'. Apa yang ia sebutkan tidak lebih dari. 'Nabi  melarang transaksi sinin. kemudian ia menambahkan. 'Dan beliau SAW memerintahkan agar buah yang rusak tidak dianggap'.” Sufyan berkata. ""Sesudah transaksi sinin. Humaid menyebutkan suatu kalimat sebelum 'Wadh'il fawaa ih' tetapi aku tidak menghafalnya. Aku sengaja tidak menyebutkan 'Wadh'il jawaa'ih' karena aku tidak mengetahui kalimat apa yang jatuh sebelumnya, tetapi pada garis besarnya hadis ini mengandung perintah agar buah yang rusak tidak dianggap."" 708"
739;Musnad Syafi'i 739;"Apakah kamu ragu ketika diberi kabar oleh Sa'id bin Al Musayyib?” ia menjawab, ""Tidak.” Ia adalah seperti yang telah dikatakan, kecuali hal itu telah membuatku ragu. 738"
754;Musnad Syafi'i 754;"(Q.S At-Takwiir[81]:17) 3 Asy-Syafi'i  mengatakan: Yang dimaksud adalah dalam shalat Subuh beliau membaca surah ""Idzasy-syamsu kuwwirat"", yakni surah At-Takwir."
761;Musnad Syafi'i 761;"Bagaimanakah dengan Aisyah itu, ternyata ia menyempurnakan shalatnya."" Urwah menjawab, ""Sesungguhnya dia menakwilkan seperti takwil yang dilakukan oleh Utsman RA.10"
764;Musnad Syafi'i 764;"Bukan merupakan suatu kebajikan melakukan puasa dalam perjalanan."""
773;Musnad Syafi'i 773;"Apabila dua khitan bertemu atau suatu khitan (lelaki) menyentuh khitan (perempuan) yang lainnya, maka mandi merupakan suatu kewajiban.""21"
785;Musnad Syafi'i 785;"Dimanakah ulama kalian, hai penduduk Madinah? Sesungguhnya aku pernah mendengar Rasulullah  melarang yang seperti ini."" Ia mengatakan pula, ""Sesungguhnya telah binasa Bani Israil hanya ketika kaum wanita mereka memakai ini,"" Kemudian ia mengatakan pula, ""Aku pernah mendengar Rasulullah  pada hari yang sama seperti sekarang bersabda, 'Sesungguhnya aku sedang puasa, barangslapa yang ingin berpuasa, hendaklah ia berpuasa'."" 33"
789;Musnad Syafi'i 789;"Sesungguhnya Rasulullah  melarang nikah mut'ah dan dari daging keledai kampung."" 37"
791;Musnad Syafi'i 791;"Apabila kalian melihat usungan jenazah, maka berdirilah hingga jenazah berlalu dari kalian, atau jenazah telah diletakkan. ""39"
